,Words,P-Value,Frequency
696,dignity gentleman respect,1.0,3
697,dis lac prob,1.0,3
698,dnt favor forget,1.0,3
699,dnt kettoda lovable,1.0,4
700,dont friend kick,1.0,3
701,dont thnk wrong,1.0,3
702,easy either fighting,1.0,3
703,either fighting fightng,1.0,3
704,enemy jstfrnd lifpartnr,1.0,3
705,entered felt happy,1.0,3
706,eve listening music,1.0,3
707,even forgot kid,1.0,3
708,even god havnt,1.0,3
709,everyone found gardener,1.0,3
710,evng forwarded friendship,1.0,4
711,exactly knew murder,1.0,3
712,experience free know,1.0,3
713,family happy merry,1.0,3
714,favor forget nimya,1.0,3
715,feel happiness make,1.0,3
716,felt happy invited,1.0,3
717,fighting fightng lose,1.0,3
718,fightng lose still,1.0,3
719,fill finger gap,1.0,4
720,fine happy iam,1.0,3
721,finger gap god,1.0,4
722,first time type,1.0,3
723,forget nimya pls,1.0,3
724,forgot kid last,1.0,3
725,forwarded friendship gud,1.0,4
726,found gardener house,1.0,3
727,free know like,1.0,3
728,friend kick loses,1.0,3
729,friend melle minnaminunginte,1.0,3
730,friendship good lovely,1.0,4
731,friendship gud message,1.0,4
732,frm heart prabha,1.0,3
733,gap god hand,1.0,4
734,gardener house immediately,1.0,3
735,gently hand interesting,1.0,3
736,girl girlfrnd grahmbell,1.0,3
737,girlfrnd grahmbell hello,1.0,3
738,god hand holding,1.0,4
739,god havnt honeybee,1.0,3
740,god heart love,1.0,4
741,going home later,1.0,3
742,good great morning,1.0,4
743,good happy hope,1.0,3
744,good lovely morning,1.0,4
745,good morning plz,1.0,3
746,good person short,1.0,3
747,goodmorning late min,1.0,3
748,got person story,1.0,3
749,govt holiday house,1.0,4
750,grahmbell hello invnted,1.0,3
751,gravity heart heavy,1.0,4
752,great guy semester,1.0,3
753,gud hav mrng,1.0,3
754,gud leaf like,1.0,3
755,guy semester uncle,1.0,3
756,hand holding know,1.0,3
757,hand interesting mode,1.0,3
758,happend message responce,1.0,3
759,happiness make meet,1.0,3
760,happy heart many,1.0,3
761,happy iam usual,1.0,3
762,happy invited lunch,1.0,3
763,happy merry new,1.0,3
764,hav mrng nice,1.0,3
765,havnt honeybee joke,1.0,3
766,heart heavy leaf,1.0,4
767,heart love miracle,1.0,4
768,heart many return,1.0,3
769,heart prabha realy,1.0,3
770,heavy leaf light,1.0,4
771,hello invnted knw,1.0,3
772,holding know love,1.0,3
773,holiday house including,1.0,4
774,holiday sunday today,1.0,3
775,honeybee joke laughed,1.0,3
776,hope job kiss,1.0,3
777,hope kiss love,1.0,3
778,house including instituitions,1.0,4
779,howz person story,1.0,3
780,iam usual well,1.0,3
781,immediately maid man,1.0,3
782,including instituitions january,1.0,4
783,instituitions january maid,1.0,4
784,interesting mode msg,1.0,3
785,invnted knw lift,1.0,3
786,jada kusruthi lovable,1.0,4
787,january maid man,1.0,4
788,job otherwise part,1.0,3
789,joke laughed met,1.0,3
790,jstfrnd lifpartnr lover,1.0,3
791,kettoda lovable luv,1.0,4
792,kick loses new,1.0,3
793,knew murder time,1.0,3
794,know let need,1.0,3
795,know like maneesha,1.0,3
796,know love made,1.0,3
797,knw lift margaret,1.0,3
798,kusruthi lovable matured,1.0,4
799,lac prob shortage,1.0,3
800,last life maintain,1.0,3
801,last man parent,1.0,3
802,late min today,1.0,3
803,latr mind minute,1.0,3
804,laughed met moral,1.0,3
805,leaf like may,1.0,4
806,life maintain many,1.0,3
807,lifpartnr lover lvblefrnd,1.0,3
808,lift margaret meaning,1.0,3
809,like maneesha reply,1.0,3
810,like may morning,1.0,4
811,listening music temple,1.0,3
812,lose still win,1.0,3
813,loses new person,1.0,3
814,lovable luv manda,1.0,4
815,lovable matured opinion,1.0,4
816,love made one,1.0,3
817,love miracle need,1.0,4
818,love miss much,1.0,3
819,love miss need,1.0,3
820,lovely morning nature,1.0,4
821,lover lvblefrnd mean,1.0,3
822,luv manda nice,1.0,4
823,lvblefrnd mean rply,1.0,3
824,maid man marriage,1.0,3
825,maid man murdered,1.0,4
826,maintain many people,1.0,3
827,make meet miss,1.0,3
828,man marriage murder,1.0,3
829,man murdered murderer,1.0,4
830,man parent sad,1.0,3
831,manda nice seriously,1.0,4
832,maneesha reply satisfied,1.0,3
833,many people remain,1.0,3
834,many return sweet,1.0,3
835,margaret meaning moral,1.0,3
836,matured opinion pls,1.0,4
837,may morning mrng,1.0,3
838,mean rply sister,1.0,3
839,meaning moral msg,1.0,3
840,meet miss pain,1.0,3
841,melle minnaminunginte nurungu,1.0,3
842,merry new wishing,1.0,3
843,met moral msg,1.0,3
844,mind minute minuts,1.0,5
845,minnaminunginte nurungu oru,1.0,3
846,minute minuts mood,1.0,5
847,minuts mood said,1.0,3
848,miracle need people,1.0,4
849,miss pain people,1.0,3
850,mode msg press,1.0,3
851,mood said sed,1.0,3
852,moral msg name,1.0,3
853,moral msg person,1.0,3
854,morning mrng night,1.0,3
855,morning nature personality,1.0,4
856,morning plz sir,1.0,3
857,mrng night ray,1.0,3
858,msg name one,1.0,3
859,msg person reading,1.0,3
860,msg press put,1.0,3
861,murder time wife,1.0,3
862,murdered murderer neighbour,1.0,3
863,murdered murderer office,1.0,4
864,murderer neighbour office,1.0,3
865,murderer office post,1.0,4
866,music temple watching,1.0,3
867,name one person,1.0,3
868,name purity reading,1.0,4
869,nature personality smile,1.0,4
870,need people pls,1.0,4
871,neighbour office picking,1.0,3
872,new person say,1.0,3
873,new wishing year,1.0,3
874,nice seriously showing,1.0,4
875,night ray smile,1.0,4
876,nimya pls raji,1.0,3
877,nimya pls shijas,1.0,3
878,nurungu oru per,1.0,3
879,office picking place,1.0,3
880,office post public,1.0,4
881,one person phne,1.0,3
882,opinion pls reply,1.0,4
883,oru per press,1.0,3
884,otherwise part time,1.0,3
885,pain people wat,1.0,3
886,parent sad story,1.0,3
887,part time tuition,1.0,3
888,people pls say,1.0,4
889,people remain seems,1.0,3
890,per press request,1.0,5
891,person phne real,1.0,3
892,person reading said,1.0,3
893,person say situation,1.0,3
894,personality smile style,1.0,4
895,phne real say,1.0,3
896,picking place play,1.0,3
897,place play police,1.0,3
898,plan today whats,1.0,3
899,play police post,1.0,3
900,pls raji today,1.0,3
901,pls reply silent,1.0,4
902,pls say send,1.0,4
903,pls shijas tessy,1.0,3
904,police post questioned,1.0,3
905,post public understand,1.0,3
906,post questioned reason,1.0,3
907,prabha realy sory,1.0,3
908,press put remove,1.0,3
909,press request set,1.0,5
910,prob shortage source,1.0,3
911,purity reading seeing,1.0,4
912,put remove screen,1.0,3
913,questioned reason reply,1.0,3
914,raji today wish,1.0,3
915,ray smile special,1.0,4
916,read someone truth,1.0,4
917,reading said sweetest,1.0,3
918,reading seeing smiling,1.0,4
919,real say storming,1.0,3
920,realy sory soryda,1.0,3
921,reason reply sir,1.0,3
922,remain seems sight,1.0,3
923,remove screen write,1.0,3
924,reply satisfied spoke,1.0,3
925,reply silent simple,1.0,4
926,reply sir sleeping,1.0,3
927,request set vettam,1.0,3
928,rply sister swtheart,1.0,3
929,sad story week,1.0,3
930,said sed sexy,1.0,3
931,said special went,1.0,3
932,said sweetest wait,1.0,3
933,satisfied spoke toll,1.0,3
934,say send slowly,1.0,4
935,say situation theory,1.0,3
936,say storming telphone,1.0,3
937,sed sexy wid,1.0,3
938,seeing smiling two,1.0,4
939,seems sight special,1.0,3
940,semester uncle wish,1.0,3
941,send slowly special,1.0,4
942,seriously showing take,1.0,4
943,sexy wid wife,1.0,3
944,shijas tessy today,1.0,3
945,shortage source thats,1.0,3
946,showing take true,1.0,4
947,silent simple spl,1.0,4
948,simple spl stylish,1.0,4
949,sister swtheart today,1.0,3
950,situation theory win,1.0,3
951,sleeping solve took,1.0,3
952,slowly special ten,1.0,4
953,smile special sunny,1.0,4
954,smile style wonder,1.0,4
955,solve took vegetable,1.0,3
956,source thats urgent,1.0,3
957,special sunny way,1.0,4
958,special ten tomorrow,1.0,4
959,spoke toll yes,1.0,3
960,still win world,1.0,3
961,storming telphone wen,1.0,3
962,story week went,1.0,3
963,style wonder world,1.0,4
964,sunday today work,1.0,3
965,sunny way worry,1.0,4
966,sweetest wait world,1.0,3
967,take true way,1.0,4
968,telphone wen yes,1.0,3
969,tessy today wish,1.0,3
970,thats urgent urgently,1.0,3
971,time type use,1.0,3
972,time wan wat,1.0,3
973,took vegetable went,1.0,3
974,true way wen,1.0,4
975,type use word,1.0,4
976,urgent urgently vry,1.0,3
977,urgently vry wnt,1.0,3
978,vegetable went wife,1.0,3
979,way wen wid,1.0,4
980,week went wife,1.0,3
981,went wife wish,1.0,3
982,wife wish work,1.0,5
983,amp come created,1.0,3
984,dearer dem feel,1.0,3
985,favour nimya pls,1.0,3
986,house immediately maid,1.0,3
987,life lot love,1.0,3
988,lunch said special,1.0,3
989,murder murdered murderer,1.0,3
990,sir sleeping solve,1.0,3
